id,username,full_name,birthday,phone,sec_level,status,password_hash,created_at
a0ed29c7-dc83-4181-ae21-9a76efbfa3a2,david_56_emp,Белякова Виктория Александровна,1987-08-04 00:00:00,+7 (355) 791-4804,3,inactive,30fec4dc6d50a79cf1a90c623ac214fc6663bec347aec739240b3ec9e238f38a,2024-07-12 17:36:05
3adee1e2-7ce5-48ac-9c67-7f815a8fa93a,bojan_1978_emp,Людмила Владиславовна Фокина,1999-10-17 00:00:00,8 (914) 902-6646,2,active,d6f605ee60487dbce21552374a4a6408888df721d80a009ea608920ce4702e15,2025-04-16 12:11:42
897b5ec3-67d8-4d26-856f-792bc7e29ed6,evse2014_emp,Варвара Сергеевна Белова,2002-04-09 00:00:00,8 213 373 4749,2,inactive,48c778f1eb60d722055a185cce6a257c2cc1d5c8968b569ca70c3cec46055588,2026-02-11 10:07:12
51ab8fe1-9e79-464e-8940-afde56eef7ab,bojan_47_emp,Пелагея Валериевна Ефремова,1974-04-15 00:00:00,+7 097 071 91 46,1,active,7bdfe38e3c33972a5309dda3f75258291b18e78d07653b08dd3074a62e57dedc,2025-06-07 18:59:57
d91d01af-1096-4a6e-8b38-b6e9d33ef3ff,mihe1988_emp,Роман Арсенович Савельев,2003-12-15 00:00:00,+7 499 023 23 28,2,inactive,22d6883ef2be96476bea923b29acc3ac21d82db21acfa89bf628aaa0c352ed6a,2025-06-19 13:29:58
b264eb9d-c4ec-4cb0-a0c0-98801ad84354,arkadi_42_emp,Ермаков Христофор Марсович,1998-12-18 00:00:00,+7 (190) 931-5790,1,inactive,764267951e7cf7123a2d486287ad5fc66d70371d48f3242301862952be346c38,2024-08-07 08:04:08
0b028ed6-0f00-457b-add5-3edd07308c53,aleksandra_89_emp,Гаврила Устинович Фокин,1995-03-13 00:00:00,8 (268) 167-16-47,3,active,8f501a3ff52fc678463120ea613fd1ce8bd810a00ccc8a999228208fb930df76,2025-02-15 19:04:04
54e42d8a-6607-4c33-9b55-938329d3c056,pantelemon67_emp,Кондратьев Святослав Зиновьевич,1983-08-10 00:00:00,8 (489) 962-21-25,3,active,4ca069cf41fca26b4f08451defe1ad45265947984425aa90b441fbfa2182c50b,2025-11-03 04:15:31
03dce095-23a2-437e-90ad-5715ecb15aaa,kirill25_emp,Ширяев Мефодий Антонович,1992-11-24 00:00:00,+7 (421) 162-51-46,3,active,d4e108c7f325b0bf30454681fa5281908234a9dd8928ee98b53e137c32d73824,2024-10-10 19:01:33
30800edf-4d58-43e3-a96b-940fd74841ac,viktorijabikova_emp,Афанасьева Пелагея Константиновна,2004-04-07 00:00:00,+7 (588) 063-41-59,1,inactive,14b9773eb73558af35c9acc70a61da7e61436aed279f1a93ebe3b34a9f4274aa,2025-02-23 02:44:31
ba2c27c5-fa18-4926-9b53-6368d6ba5179,karl49_emp,Вышеслав Вилорович Сорокин,1994-04-10 00:00:00,+73618488403,1,active,b31c66361d0a0557a555edcf2986a4e68a95d51471ed00b2d1500aff270987b5,2024-11-16 09:10:50
d340f78e-648c-4c67-a9b2-5145b3b773db,mirongusev_emp,Ольга Ильинична Жданова,1981-12-28 00:00:00,+7 180 392 8560,3,active,e10d9f15263b2ba8a436a5dd526773b28b1fd04b2a0d53c9308f75e7f033c95a,2024-12-09 05:36:07
56bde063-d8b5-4af6-8ec8-6a52be007898,zinovilihachev_emp,Цветкова Оксана Юрьевна,1987-10-16 00:00:00,8 982 291 1169,3,inactive,35e673704559bf1774315872c723420124a776aadbd1bd1be06179517be6918c,2026-04-08 13:28:01
ca155167-00f3-45f4-9fa5-fa1c385ebf77,olegbelousov_emp,Николаев Леонтий Владиславович,1999-11-22 00:00:00,+7 (505) 063-6710,2,active,1948f30dc3584da3866f5e571ec9c93375f439a82a1c8959f56e55f29a35204e,2025-07-16 16:52:03
518baab4-bdcf-45bc-9ec6-37549da23359,apollinari46_emp,Анастасия Федоровна Егорова,1990-05-16 00:00:00,+7 433 948 72 60,2,inactive,723d29350483031bb8752c0f2a3700566511ad099b25214533881bd412964dfb,2025-11-20 01:19:29
cecb8ec0-6040-43be-a205-6c4f2a90258d,nonnaustinova_emp,Анна Ниловна Мухина,1982-04-18 00:00:00,+7 459 856 22 06,1,inactive,02a85dd20dcd243614a7d9dcc59690c72c53392903a3ee422683afa890c4d0a7,2025-06-09 09:52:37
8eb3b219-9fb7-44ac-a893-dbc4dab3ebf8,andron_2003_emp,Рыбакова Феврония Павловна,1998-12-15 00:00:00,8 035 787 65 95,1,inactive,3b3c881df3239575afa7e17686aa898d1add25b78ca11ec47b1b7caf829fcd97,2025-09-04 05:18:22
